Element,Configuration,2p,3p,3d
Co,2p63p64s13d7,9.386711230289134,1.1306340004305298,0.06517132204647699
Co,2p63p64s03d7,9.387663629567474,1.1306340004305298,0.065987664285055
Co,2p63p64s23d6,9.383990089493873,1.1573011802240778,0.071974174034627
Co,2p63p64s13d6,9.384942488772213,1.158525693581945,0.07279051627320499
Co,2p63p64s03d6,9.386303059169844,1.1608386632579157,0.073742915551546
Co,2p63p64s03d5,9.38616700213008,1.2000230907096598,0.082042394977089
Co,2p63p64s03d4,9.387663629567474,1.2468267123881318,0.090886102561684
Co,2p63p64s03d3,9.391337169641075,1.299752900855939,0.10027403830533099
Co,2p63p64s03d2,9.397731850509935,1.358393484993792,0.11034225924779298
Co,2p63p64s03d1,9.40698372921382,1.421932122563113,0.12013836611072898
Co,2p63p64s03d0,9.41977309095154,1.48982458540485,
Co,2p53p64s23d7,9.744133073746534,1.2488675679845769,0.089933703283343
Co,2p53p64s13d7,9.744949415985111,1.2500920813424439,0.090750045521921
Co,2p53p64s03d7,9.746309986382741,1.252405051018415,0.091702444800262
Co,2p53p64s23d6,9.742908560388667,1.286011139839876,0.098777410867938
Co,2p53p64s13d6,9.744269130786297,1.289140451754425,0.09972981014627899
Co,2p53p64s03d6,9.746309986382741,1.293358219987078,0.100954323504146
Co,2p53p64s03d5,9.748078727899662,1.341794526142706,0.110614373327319
Co,2p53p64s03d4,9.75216043909255,1.396489456127432,0.120954708349307
Co,2p53p64s03d3,9.7589632910807,1.4567627247424408,0.13197532857011
Co,2p53p64s03d2,9.768895454983399,1.5216619327093919,0.143540176949965
Co,2p53p64s03d1,9.78209298784041,1.590914965948759,0.154968968290057
Co,2p53p64s03d0,9.799100117810784,1.6641136533412528,
Co,2p63p54s23d7,9.394466481555623,1.167505458206303,0.072926573312968
Co,2p63p54s13d7,9.395282823794203,1.1685939145244069,0.07360685851178299
Co,2p63p54s03d7,9.396779451231595,1.1704987130810889,0.07455925779012398
Co,2p63p54s23d6,9.393105911157994,1.200975489988001,0.080409710499933
Co,2p63p54s13d6,9.394602538595388,1.203968744862787,0.081362109778274
Co,2p63p54s03d6,9.396643394191832,1.2080504560556768,0.082450566096378
Co,2p63p54s03d5,9.398140021629224,1.2530853362172298,0.091022159601447
Co,2p63p54s03d4,9.401813561702825,1.3043788402078809,0.100137981265568
Co,2p63p54s03d3,9.40793612849216,1.361386739868578,0.109798031088741
Co,2p63p54s03d2,9.416915893116519,1.423428750000506,0.12013836611072898
Co,2p63p54s03d1,9.429297083734951,1.490096699484376,0.13034264409295399
Co,2p63p54s03d0,9.44507970034746,1.5609824172008988,
Fe,2p63p64s23d6,7.365583904609767,0.928045068223423,0.043130081604871
Fe,2p63p64s13d6,7.882464598669405,0.9341676350127579,0.051157446950887996
Fe,2p63p64s03d6,7.883280940907982,0.934439749092284,0.051973789189466
Fe,2p63p64s23d5,7.88001557195367,0.958249731050809,0.05714395670045999
Fe,2p63p64s13d5,7.880831914192249,0.9594742444086759,0.057824241899275
Fe,2p63p64s03d5,7.882192484589878,0.9619232711244099,0.058776641177615996
Fe,2p63p64s03d4,7.882192484589878,0.9975702155423158,0.065987664285055
Fe,2p63p64s03d3,7.8836891120272705,1.040156068988135,0.073742915551546
Fe,2p63p64s03d2,7.887498709140636,1.088456318104,0.082042394977089
Fe,2p63p64s03d1,7.89362127592997,1.141654620651333,0.090341874402632
Fe,2p63p64s03d0,7.902737097594092,1.1994788625506079,
Fe,2p53p64s23d6,8.196892417561697,1.0400200119483718,0.07265445923344199
Fe,2p53p64s13d6,8.197572702760512,1.0413805823460018,0.07333474443225699
Fe,2p53p64s03d6,8.198933273158142,1.043693552021973,0.07428714371059798
Fe,2p53p64s23d5,8.195803961243595,1.073762157809596,0.080409710499933
Fe,2p53p64s13d5,8.197164531641224,1.076891469724145,0.081226052738511
Fe,2p53p64s03d5,8.199069330197906,1.081109237956798,0.082314509056615
Fe,2p53p64s03d4,8.200974128754588,1.125055661800247,0.091022159601447
Fe,2p53p64s03d3,8.205055839947478,1.1747164813137418,0.100137981265568
Fe,2p53p64s03d2,8.211722634895866,1.2291392972189419,0.109798031088741
Fe,2p53p64s03d1,8.221382684719037,1.288051995436321,0.11945808091191398
Fe,2p53p64s03d0,8.234308103496522,1.350910347806827,
Fe,2p63p54s23d6,7.889267450657554,0.9673655527149299,0.057960298939037994
Fe,2p63p54s13d6,7.890083792896133,0.968590066072797,0.058504527098089995
Fe,2p63p54s03d6,7.891444363293763,0.9706309216692419,0.05945692637643099
Fe,2p63p54s23d5,7.888178994339451,0.997706272582079,0.064491036847662
Fe,2p63p54s13d5,7.88953956473708,1.000699527456865,0.06530737908623999
Fe,2p63p54s03d5,7.891444363293763,1.004781238649755,0.06639583540434399
Fe,2p63p54s03d4,7.893077047770919,1.045598350578655,0.07387897259130899
Fe,2p63p54s03d3,7.896614530804756,1.092401972257127,0.081906337937326
Fe,2p63p54s03d2,7.902737097594092,1.144103647367067,0.090477931442395
Fe,2p63p54s03d1,7.911444748138924,1.2005673188687118,0.098913467907701
Fe,2p63p54s03d0,7.9234177676380675,1.2611127015632468,
Mn,2p63p64s23d5,6.567745423439535,0.764096335309008,0.038912313372217996
Mn,2p63p64s13d5,6.568153594558825,0.763824221229482,0.039320484491507
Mn,2p63p64s03d5,6.56883387975764,0.764368449388534,0.040136826730085
Mn,2p63p64s23d4,6.565840624882854,0.785321233512036,0.044490652002501
Mn,2p63p64s13d4,6.566656967121432,0.786817860949429,0.045170937201316
Mn,2p63p64s03d4,6.567881480479299,0.789402944704926,0.045987279439894
Mn,2p63p64s03d3,6.567881480479299,0.8219205772082829,0.052381960308755
Mn,2p63p64s03d2,6.569514164956455,0.860560776500975,0.05918481229690499
Mn,2p63p64s03d1,6.573187705030056,0.904371143304661,0.06585160724529199
Mn,2p63p64s03d0,6.5793102718193905,0.9526713924205259,
Mn,2p53p64s23d5,6.842988814880084,0.858111749785241,0.057824241899275
Mn,2p53p64s13d5,6.843805157118662,0.859472320182871,0.058504527098089995
Mn,2p53p64s03d5,6.844893613436767,0.8617852898588418,0.059320869336668
Mn,2p53p64s23d4,6.842172472641506,0.888724583731916,0.06462709388742499
Mn,2p53p64s13d4,6.843396985999373,0.891717838606702,0.065443436126003
Mn,2p53p64s03d4,6.845165727516292,0.8957995497995919,0.06639583540434399
Mn,2p53p64s03d3,6.847206583112738,0.9358003194899138,0.074015029631072
Mn,2p53p64s03d2,6.851288294305627,0.9808351996514669,0.082042394977089
Mn,2p53p64s03d1,6.857819032214252,1.030087848045673,0.090069760323106
Mn,2p53p64s03d0,6.867206967957899,1.083422207632769,
Mn,2p63p54s23d5,6.574004047268634,0.793756769977342,0.045306994241079
Mn,2p63p54s13d5,6.574684332467449,0.794981283335209,0.045851222400131
Mn,2p63p54s03d5,6.575908845825316,0.79729425301118,0.046667564638709
Mn,2p63p54s23d4,6.573051647990292,0.8212402920094679,0.051021389911124995
Mn,2p63p54s13d4,6.57427616134816,0.824233546884254,0.05170167510994
Mn,2p63p54s03d4,6.576180959904842,0.828179201037381,0.052790131428044
Mn,2p63p54s03d3,6.5778136443819974,0.86532277289268,0.05918481229690499
Mn,2p63p54s03d2,6.581351127415835,0.907772569298736,0.066259778364581
Mn,2p63p54s03d1,6.587201580125645,0.9547122480169709,0.073198687392494
Mn,2p63p54s03d0,6.595773173630714,1.005597580888333,
Cr,2p63p64s23d4,5.426090802788202,0.6172907894047309,0.029116206509281997
Cr,2p63p64s13d4,5.4263629168677285,0.6172907894047309,0.029524377628571
Cr,2p63p64s03d4,5.427043202066544,0.617971074603546,0.030204662827386
Cr,2p63p64s23d3,5.424322061271283,0.636610889051077,0.03401425994075
Cr,2p63p64s13d3,5.4251384035098615,0.63810751648847,0.034558488099802
Cr,2p63p64s03d3,5.426226859827966,0.640692600243967,0.035374830338379994
Cr,2p63p64s03d2,5.4263629168677285,0.670353034912301,0.040953168968663
Cr,2p63p64s03d1,5.427995601344885,0.705319694131392,0.046395450559182996
Cr,2p63p64s03d0,5.431669141418486,0.744912292702425,
Cr,2p53p64s23d4,5.66541513573132,0.700965868858976,0.045306994241079
Cr,2p53p64s13d4,5.666095420930135,0.702326439256606,0.045987279439894
Cr,2p53p64s03d4,5.667183877248239,0.70477546597234,0.046803621678472
Cr,2p53p64s23d3,5.664734850532505,0.728721504970628,0.051293503990650996
Cr,2p53p64s13d3,5.665959363890371,0.731578702805651,0.051973789189466
Cr,2p53p64s03d3,5.667592048367528,0.735660413998541,0.052926188467806994
Cr,2p53p64s03d2,5.669632903963973,0.771851586575499,0.059592983416194
Cr,2p53p64s03d1,5.673714615156863,0.812396584424873,0.06612372132481799
Cr,2p53p64s03d0,5.680109296025724,0.8568872364273739,
Cr,2p63p54s23d4,5.43139702733896,0.644230083277805,0.034694545139565
Cr,2p63p54s13d4,5.432213369577537,0.645590653675435,0.03523877329861699
Cr,2p63p54s03d4,5.433301825895641,0.6479036233514059,0.036055115537194996
Cr,2p63p54s23d3,5.430580685100382,0.668992464514671,0.039592598571033
Cr,2p63p54s13d3,5.431805198458249,0.671849662349694,0.040272883769848
Cr,2p63p54s03d3,5.433573939975168,0.675931373542584,0.041225283048189
Cr,2p63p54s03d2,5.435206624452324,0.709537462364045,0.046803621678472
Cr,2p63p54s03d1,5.438744107486161,0.747769490537448,0.052518017348518
Cr,2p63p54s03d0,5.444458503156208,0.7900832299037409,
V,2p63p64s23d3,4.44090177786432,0.4919822557830079,0.021088841163265
V,2p63p64s13d3,4.441173891943846,0.49211831282277096,0.021497012282554
V,2p63p64s03d3,4.441854177142661,0.4929346550613489,0.022177297481369
V,2p63p64s23d2,4.439405150426927,0.5092614998329089,0.025306609395918
V,2p63p64s13d2,4.439949378585979,0.510894184310065,0.02585083755497
V,2p63p64s03d2,4.441037834904082,0.5136153251053249,0.026667179793547997
V,2p63p64s03d1,4.4413099489836085,0.5404185619386359,0.031021005065963995
V,2p63p64s03d0,4.442942633460765,0.5721198522034149,
V,2p53p64s23d3,4.647572421264317,0.566133342453843,0.03496665921909099
V,2p53p64s13d3,4.648252706463132,0.5676299698912359,0.035510887378142994
V,2p53p64s03d3,4.649341162781236,0.5700789966069699,0.036191172576957996
V,2p53p64s23d2,4.647164250145027,0.591167837770235,0.040000769690322
V,2p53p64s13d2,4.648252706463132,0.5940250356052579,0.040681054889137
V,2p53p64s03d2,4.649749333900525,0.597970689758385,0.041497397127715
V,2p53p64s03d1,4.651790189496969,0.6304883222617419,0.046939678718235
V,2p53p64s03d0,4.65587190068986,0.666951608918226,
V,2p63p54s23d3,4.445527717216262,0.5163364659005849,0.025986894594733
V,2p63p54s13d3,4.446208002415077,0.517697036298215,0.026531122753784997
V,2p63p54s03d3,4.447296458733181,0.5200100059741859,0.0272114079526
V,2p63p54s23d2,4.444847432017446,0.5385137633819539,0.030204662827386
V,2p63p54s13d2,4.44593588833555,0.54150701825674,0.030884948026200995
V,2p63p54s03d2,4.447568572812707,0.545452672409867,0.031701290264779
